tensor_id,tensor_name,tensor_type,size_KB,module_path,event_type,t_start_us,t_end_us,src_name,dest_name
1751,param_5122_5123,WEIGHT,4.000,model.layers.17.input_layernorm,TRANSFER,631684.545,631684.865,ram,vram0
1751,param_5122_5123,WEIGHT,4.000,model.layers.17.input_layernorm,TRANSFER,631684.545,631684.865,ram,vram0
1756,param_5135_5136,WEIGHT,8.000,model.layers.17.input_layernorm,TRANSFER,631689.729,631690.369,ram,vram0
1756,param_5135_5136,WEIGHT,8.000,model.layers.17.input_layernorm,TRANSFER,631689.729,631690.369,ram,vram0
1765,param_5159_5160,WEIGHT,8192.000,model.layers.17.self_attn.k_proj,TRANSFER,632970.158,633297.838,ram,vram0
1765,param_5159_5160,WEIGHT,8192.000,model.layers.17.self_attn.k_proj,TRANSFER,632970.158,633297.838,ram,vram0
1772,param_5179_5180,WEIGHT,8192.000,model.layers.17.self_attn.v_proj,TRANSFER,633326.929,633654.609,ram,vram0
1772,param_5179_5180,WEIGHT,8192.000,model.layers.17.self_attn.v_proj,TRANSFER,633326.929,633654.609,ram,vram0
1816,param_5308_5309,WEIGHT,32768.000,model.layers.17.self_attn.o_proj,TRANSFER,633970.080,635280.800,ram,vram0
1816,param_5308_5309,WEIGHT,32768.000,model.layers.17.self_attn.o_proj,TRANSFER,633970.080,635280.800,ram,vram0
1824,param_5335_5336,WEIGHT,4.000,model.layers.17.post_attention_layernorm,TRANSFER,635364.991,635365.151,ram,vram0
1824,param_5335_5336,WEIGHT,4.000,model.layers.17.post_attention_layernorm,TRANSFER,635364.991,635365.151,ram,vram0
1829,param_5348_5349,WEIGHT,8.000,model.layers.17.post_attention_layernorm,TRANSFER,635399.366,635400.006,ram,vram0
1829,param_5348_5349,WEIGHT,8.000,model.layers.17.post_attention_layernorm,TRANSFER,635399.366,635400.006,ram,vram0
1831,param_5352_5353,WEIGHT,114688.000,model.layers.17.mlp.gate_proj,TRANSFER,635399.366,639987.206,ram,vram0
1831,param_5352_5353,WEIGHT,114688.000,model.layers.17.mlp.gate_proj,TRANSFER,635399.366,639987.206,ram,vram0
1837,param_5370_5371,WEIGHT,114688.000,model.layers.17.mlp.up_proj,TRANSFER,640121.896,644709.416,ram,vram0
1837,param_5370_5371,WEIGHT,114688.000,model.layers.17.mlp.up_proj,TRANSFER,640121.896,644709.416,ram,vram0
1843,param_5388_5389,WEIGHT,114688.000,model.layers.17.mlp.down_proj,TRANSFER,644841.887,649429.407,ram,vram0
1843,param_5388_5389,WEIGHT,114688.000,model.layers.17.mlp.down_proj,TRANSFER,644841.887,649429.407,ram,vram0
1852,param_5416_5417,WEIGHT,4.000,model.layers.18.input_layernorm,TRANSFER,649618.853,649619.013,ram,vram0
1852,param_5416_5417,WEIGHT,4.000,model.layers.18.input_layernorm,TRANSFER,649618.853,649619.013,ram,vram0
1857,param_5429_5430,WEIGHT,8.000,model.layers.18.input_layernorm,TRANSFER,649642.487,649643.127,ram,vram0
1857,param_5429_5430,WEIGHT,8.000,model.layers.18.input_layernorm,TRANSFER,649642.487,649643.127,ram,vram0
1859,param_5433_5434,WEIGHT,32768.000,model.layers.18.self_attn.q_proj,TRANSFER,649642.487,650953.527,ram,vram0
1859,param_5433_5434,WEIGHT,32768.000,model.layers.18.self_attn.q_proj,TRANSFER,649642.487,650953.527,ram,vram0
1866,param_5453_5454,WEIGHT,8192.000,model.layers.18.self_attn.k_proj,TRANSFER,651009.532,651337.212,ram,vram0
1866,param_5453_5454,WEIGHT,8192.000,model.layers.18.self_attn.k_proj,TRANSFER,651009.532,651337.212,ram,vram0
